Eligmodontia typus
Microtus oregoni
Peromyscus gossypinus
Elephantulus myurus
Peromyscus boylii
Phodopus campbelli
Myodes gapperi
Sorex palustris
Reithrodontomys humulis
Oryzomys palustris
Neomys anomalus
Cryptotis parva
Sorex cinereus
Sorex coronatus
Sminthopsis murina
Suncus murinus
Crocidura suaveolens
Blarina hylophaga
Sorex fumeus
Galea musteloides
Hemicentetes nigriceps
Sorex unguiculatus
Hemicentetes semispinosus
Neotoma micropus
Sorex arcticus
Didelphis albiventris
Sorex ornatus
Crocidura leucodon
Microtus pinetorum
Peroryctes raffrayana
Ningaui ridei
Chiropodomys gliroides
Hylaeamys megacephalus
Lemniscomys striatus
Dicrostonyx torquatus
Ochotona pusilla
Microtus guentheri
Apodemus agrarius
Antechinus minimus
Apodemus flavicollis
Pseudantechinus ningbing
Sorex araneus
Antechinus leo
Sminthopsis leucopus
Sorex vagrans
Antechinus swainsonii
Phodopus roborovskii
Grammomys dolichurus
Condylura cristata
Rhombomys opimus
Marmosa robinsoni
Sminthopsis virginiae
Apodemus argenteus
Sminthopsis ooldea
Neomys fodiens
Suncus etruscus
Thomomys talpoides
Ctenomys talarum
Scapanus orarius
Proechimys semispinosus
Dasykaluta rosamondae
Microtus ochrogaster
Galea spixii
Antechinus bellus
Ochotona alpina
Allactaga elater
Gerbilliscus validus
Peromyscus polionotus
Sminthopsis macroura
Peromyscus truei
Dipodomys heermanni
Meriones libycus
Planigale tenuirostris
Antechinomys laniger
Peromyscus californicus
Antechinus flavipes
Notomys mitchellii
Meriones crassus
Urotrichus talpoides
Gerbilliscus afra
Isoodon obesulus
Tylomys nudicaudus
Cephalophus adersi
Perameles gunnii
Phascogale calura
Notomys alexis
Mesembriomys gouldii
Ochotona pallasi
Antechinus stuartii
Perameles bougainville
Galemys pyrenaicus
Mustela lutreola
Dasyurus hallucatus
Sicista betulina
Pachyuromys duprasi
Planigale gilesi
Parantechinus apicalis
Napaeozapus insignis
Cavia tschudii
Cavia aperea
Planigale maculata
Neotoma floridana
Leporillus conditor
Perognathus parvus
Ictonyx libyca
Antechinus agilis
Parascalops breweri
Myotis nigricans
Ctenodactylus gundi
Spermophilus beecheyi
Tatera indica
Onychogalea fraenata
Cephalophus leucogaster
Podomys floridanus
Pseudantechinus macdonnellensis
Ctenodactylus vali
Rhynchocyon chrysopygus
Ochotona cansus
Peromyscus eremicus
Spermophilus armatus
Muscardinus avellanarius
Phascogale tapoatafa
Glirulus japonicus
Ammospermophilus nelsoni
Pseudomys australis
Sylvilagus nuttallii
Caluromys derbianus
Peromyscus crinitus
Dasyurus geoffroii
Dasyurus maculatus
Sylvilagus audubonii
Erinaceus concolor
Hemiechinus auritus
Chaetodipus formosus
Scalopus aquaticus
Gerbillus pyramidum
Spermophilus citellus
Thrichomys apereoides
Cephalophus spadix
Georychus capensis
Sylvilagus palustris
Eonycteris spelaea
Dipodomys deserti
Mustela frenata
Macroscelides proboscideus
Perognathus longimembris
Bettongia tropica
Dasyurus viverrinus
Eliomys quercinus
Tenrec ecaudatus
Poiana richardsonii
Neotoma albigula
Chaetodipus fallax
Spermophilus franklinii
Ochotona princeps
Dasyuroides byrnei
Spermophilus tridecemlineatus
Dasycercus cristicauda
Lepus arcticus
Mustela erminea
Dipodomys spectabilis
Sylvilagus transitionalis
Poiana leightoni
Lepus townsendii
Lagorchestes conspicillatus
Xerus erythropus
Sylvilagus floridanus
Vormela peregusna
Geomys bursarius
Tamias townsendii
Dipodomys ordii
Tamias minimus
Geocapromys ingrahami
Microgale dobsoni
Salanoia concolor
Tamias striatus
Conepatus leuconotus
Urocyon littoralis
Macrotis lagotis
Mustela nivalis
Elephantulus intufi
Ammospermophilus leucurus
Spermophilus tereticaudus
Neotoma lepida
Lepus californicus
Poecilogale albinucha
Mustela kathiah
Spilogale putorius
Galictis cuja
Mungos gambianus
Cynopterus brachyotis
Corynorhinus rafinesquii
Spilogale gracilis
Herpestes pulverulentus
Conepatus humboldtii
Octodon degus
Tamias sibiricus
Crossarchus ansorgei
Conepatus chinga
Vulpes bengalensis
Pectinator spekei
Atelerix albiventris
Thylogale stigmatica
Vulpes chama
Pseudalopex fulvipes
Crossarchus obscurus
Rhynchogale melleri
Pudu mephistophiles
Leopardus jacobita
Vulpes cana
Helogale hirtula
Herpestes sanguineus
Vulpes ferrilata
Spermophilus lateralis
Lasionycteris noctivagans
Tamiasciurus hudsonicus
Atelocynus microtis
Hippocamelus antisensis
Zaedyus pichiy
Chaetophractus villosus
Pudu puda
Canis simensis
Mazama chunyi
Muntiacus vaginalis
Pseudalopex sechurae
Martes gwatkinsii
Herpestes javanicus
Pseudalopex vetulus
Neovison vison
Mustela sibirica
Melogale personata
Mustela nigripes
Crossarchus platycephalus
Myotis volans
Prionodon linsang
Antrozous pallidus
Lepilemur leucopus
Setifer setosus
Vulpes pallida
Cerdocyon thous
Canis adustus
Speothos venaticus
Neotragus pygmaeus
Cynomys ludovicianus
Cephalophus niger
Mustela africana
Lynx pardinus
Myotis velifer
Prionodon pardicolor
Callosciurus notatus
Herpestes edwardsii
Porcula salvania
Myoprocta acouchy
Vespertilio murinus
Xerus inauris
Procyon pygmaeus
Marmota monax
Cryptomys hottentotus
Herpestes vitticollis
Aonyx capensis
Melogale moschata
Paracynictis selousi
Trogopterus xanthipes
Mustela putorius
Spilocuscus maculatus
Viverricula indica
Herpestes urva
Pseudalopex culpaeus
Dendrohyrax dorsalis
Dasyprocta punctata
Felis nigripes
Saiga tatarica
Sarcophilus harrisii
Capromys pilorides
Pseudalopex gymnocercus
Glaucomys sabrinus
Vulpes rueppellii
Herpestes brachyurus
Mydaus javanensis
Felis margarita
Mephitis mephitis
Mustela lutreolina
Conepatus semistriatus
Raphicerus sharpei
Raphicerus campestris
Lyncodon patagonicus
Galidictis grandidieri
Martes melampus
Helogale parvula
Nesotragus moschatus
Moschiola meminna
Herpestes ochraceus
Pelea capreolus
Procapra gutturosa
Arctonyx collaris
Pipistrellus subflavus
